// Creator: RBR Ltd.,,,,,,,,,,,,,,,,,,
// Create time: 2024-06-14T16:00:22,,,,,,,,,,,,,,,,,,
// Instrument model firmware and serialID: RBRmaestro³ 1.15 231420,,,,,,,,,,,,,,,,,,
// Sample period: 0.5 second,,,,,,,,,,,,,,,,,,
// Processing history:,,,,,,,,,,,,,,,,,,
"//	231420_20240614_1557.rsk opened using pyRSKtools v1.1.1.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    pressure(dbar),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    chlorophyll-a(ug/l),    fdom(ppb),    turbidity(FTU),    voltage(V),    voltage1(V),    voltage2(V),    voltage3(V),    sea_pressure(dbar),    depth(m),    salinity(PSU),    speed_of_sound(m/s),    specific_conductivity(µS/cm),    dissolved_o2_saturation(%)
2024-06-11T07:12:48.000,0.003051472,13.93319702,10.00224495,12.34749985,260.7046204,11.82900047,42.31300354,1500,0.02959935,0.029610796,0.029573604,0.029579323,-0.130254745,-0.129192561,0.007925501,1462.164551,3.869361639,80.87726593
2024-06-11T07:12:48.500,0.002760328,13.94448853,10.00205135,12.34749985,260.7048035,11.8210001,42.27750015,1500,0.029603643,0.029611509,0.029570028,0.029584333,-0.130448341,-0.129384577,0.007820867,1462.204956,3.499225616,80.89737701
2024-06-11T07:12:49.000,0.003424541,13.94943237,10.00255394,12.3512001,259.50177,11.8210001,42.27750015,1500,0.029606503,0.029611509,0.029573604,0.029581469,-0.129945755,-0.128886089,0.008077743,1462.223145,4.340718269,80.53298187
2024-06-11T07:12:49.500,0.002174755,13.95544434,9.999548912,12.3512001,259.5024719,11.83100033,42.26900101,1500,0.029603643,0.02960722,0.02957074,0.029584333,-0.132950783,-0.131866604,0.007617517,1462.244141,2.756172657,80.54362488
2024-06-11T07:12:50.000,0.002585134,13.99252319,10.00109768,12.35499954,259.8639832,11.83950043,42.31100082,1500,0.029602926,0.029610796,0.029571457,0.029581469,-0.131402016,-0.130330473,0.007778275,1462.377686,3.273327827,80.72174835
2024-06-11T07:12:50.500,0.003202528,14.02832031,10.00109005,12.35499954,259.8636169,11.83750057,42.28600311,1500,0.02960078,0.029607933,0.029570028,0.029585762,-0.131409645,-0.130338043,0.008025273,1462.50647,4.051571846,80.78534698
2024-06-11T07:12:51.000,0.003032819,14.06420898,10.00249481,12.35899925,259.3672485,11.83750057,42.28600311,1500,0.029605072,0.029608648,0.029572885,0.029582899,-0.130004883,-0.128944725,0.007976029,1462.635254,3.83354497,80.69463348
2024-06-11T07:12:51.500,0.001984565,14.12350464,10.00469589,12.35899925,259.3677979,11.84450054,42.30550385,1500,0.029601496,0.029609367,0.02957217,0.029582899,-0.127803802,-0.1267616,0.007631646,1462.84729,2.504944563,80.7997818
2024-06-11T07:12:52.000,0.002900415,14.1829834,9.997982025,12.36289978,260.3925476,11.83600044,42.24350357,1500,0.029604357,0.029608648,0.029571457,0.029585045,-0.13451767,-0.133420721,0.007978559,1463.060425,3.655701399,81.2251358
2024-06-11T07:12:52.500,0.003346271,14.22070313,10.00330734,12.36289978,260.3922729,11.81400013,42.25650024,1500,0.029604357,0.029608648,0.029568594,0.029584333,-0.129192352,-0.128138825,0.008164315,1463.195557,4.213834763,81.29231262
2024-06-11T07:12:53.000,0.002260735,14.33413696,9.996852875,12.36699963,260.4299011,11.81400013,42.25650024,1500,0.029604357,0.029612944,0.029575747,0.029582186,-0.13564682,-0.134540662,0.007818743,1463.599731,2.839113712,81.50606537
2024-06-11T07:12:53.500,0.002971372,14.36868286,10.00065899,12.36699963,260.4295349,11.82300091,42.28000259,1500,0.029603643,0.02960722,0.029573604,0.029586475,-0.131840706,-0.130765587,0.008086312,1463.7229,3.728467464,81.56768036
2024-06-11T07:12:54.000,0.003385407,14.38619995,10.00497341,12.37099934,259.9307251,11.81600094,42.28450012,1500,0.029601496,0.029610796,0.02957217,0.029580038,-0.127526283,-0.126486346,0.008250552,1463.785645,4.246214867,81.44271088
2024-06-11T07:12:54.500,0.002225233,14.36505127,10.01089668,12.37099934,259.9314575,11.8295002,42.28750229,1500,0.029602215,0.029609367,0.029570028,0.029582899,-0.121603012,-0.120611377,0.007820789,1463.709961,2.792457581,81.40509033
2024-06-11T07:12:55.000,0.002891299,14.39837646,10.00216675,12.37510014,259.8731995,11.81250095,42.22100067,1500,0.029603643,0.029610079,0.029571457,0.029582899,-0.130332947,-0.129270121,0.008069755,1463.828735,3.625412226,81.44625854
2024-06-11T07:12:55.500,0.002837167,14.38967896,10.0022707,12.37510014,259.87323,11.81250095,42.22100067,1500,0.029602926,0.029612225,0.029575033,0.029582186,-0.130228996,-0.12916702,0.008046135,1463.797729,3.55827713,81.4307785
2024-06-11T07:12:56.000,0.003001392,14.37442017,10.00011253,12.37949944,260.2636719,11.82150078,42.26650238,1500,0.029600067,0.029609367,0.029573604,0.029582899,-0.132387161,-0.131307587,0.008099962,1463.743408,3.765618563,81.52596283
2024-06-11T07:12:56.500,0.00352552,14.40563965,10.00381279,12.37949944,260.2633667,11.8220005,42.27850342,1500,0.029605791,0.029611509,0.02957217,0.029585762,-0.128686905,-0.127637506,0.008313152,1463.854858,4.419895649,81.58161163
2024-06-11T07:12:57.000,0.003113312,14.44522095,10.00151825,12.3835001,260.9944763,11.82550049,42.17850113,1500,0.029602215,0.029608648,0.029572885,0.029582186,-0.130981445,-0.12991333,0.008172499,1463.995117,3.899421215,81.8814621
2024-06-11T07:12:57.500,0.00234669,14.45040894,10.0041008,12.3835001,260.9949036,11.82550049,42.17850113,1500,0.029602926,0.029607933,0.029575033,0.029584333,-0.128398895,-0.127351835,0.00790007,1464.013306,2.938862562,81.89073181
2024-06-11T07:12:58.000,0.002214288,14.44400024,10.00327206,12.38749981,260.4718933,11.8295002,42.1760025,1500,0.029605791,0.029612225,0.02957217,0.029583614,-0.129227638,-0.128173828,0.007852755,1463.990601,2.773474693,81.71517181
2024-06-11T07:12:58.500,0.003165616,14.48742676,9.994747162,12.38749981,260.471283,11.82900047,42.20950317,1500,0.02960078,0.029609367,0.029569309,0.029582899,-0.137752533,-0.136629209,0.008210366,1464.14502,3.960932493,81.79263306
2024-06-11T07:12:59.000,0.002568308,14.53979492,9.99785614,12.39169979,259.8431396,11.8220005,42.19650269,1500,0.029602926,0.029610796,0.029570028,0.029582899,-0.134643555,-0.133545578,0.008016211,1464.330444,3.209541798,81.68852997
2024-06-11T07:12:59.500,0.002639636,14.57562256,10.00686932,12.39169979,259.8431396,11.8220005,42.19650269,1500,0.029604357,0.029611509,0.02957074,0.029581469,-0.125630379,-0.124605902,0.008057048,1464.45752,3.295860767,81.75234222
2024-06-11T07:13:00.000,0.002119167,14.6237793,10.00115108,12.39649963,259.4788513,11.84300041,42.18850327,1500,0.029603643,0.029612225,0.029573604,0.029581469,-0.13134861,-0.1302775,0.007902633,1464.627563,2.642964602,81.72328949
2024-06-11T07:13:00.500,0.002339377,14.64465332,9.995569229,12.39649963,259.4786987,11.84050083,42.21100235,1500,0.029602926,0.029610079,0.029566452,0.029580757,-0.136930466,-0.135813832,0.00798436,1464.701416,2.916154623,81.76042938
2024-06-11T07:13:01.000,0.003551856,14.67684937,9.998669624,12.40079975,259.192627,11.82850075,42.20700073,1500,0.029602215,0.029610079,0.029574316,0.029585045,-0.13383007,-0.132738724,0.0084382,1464.815796,4.424180984,81.72772217
2024-06-11T07:13:01.500,0.002507258,14.71658325,9.998405457,12.40079975,259.1932068,11.82350063,42.23250198,1500,0.029605072,0.029610079,0.02957217,0.029583614,-0.134094238,-0.133000746,0.008073165,1464.955444,3.120083809,81.7983551
2024-06-11T07:13:02.000,0.002673287,14.7651062,9.999593735,12.4052,260.2494202,11.82350063,42.23250198,1500,0.029602926,0.029611509,0.02957217,0.029580038,-0.13290596,-0.131822154,0.008152013,1465.126709,3.322861433,82.21833038
2024-06-11T07:13:02.500,0.002880329,14.78262329,10.00431538,12.4052,260.2493286,11.82650089,42.19000244,1500,0.029602215,0.029612225,0.02957217,0.029580757,-0.128184319,-0.127139017,0.008233063,1465.188477,3.578724384,82.2496109
2024-06-11T07:13:03.000,0.003009051,14.79907227,10.00313377,12.40989971,258.6807556,11.8210001,42.21450043,1500,0.029602926,0.029610079,0.029568594,0.029582899,-0.129365921,-0.128310978,0.008286698,1465.24646,3.737198353,81.78310394
2024-06-11T07:13:03.500,0.003078205,14.80172729,9.994403839,12.40989971,258.6806641,11.82300091,42.19950104,1500,0.029603643,0.029608648,0.029572885,0.029584333,-0.138095856,-0.13696973,0.008313101,1465.255737,3.822845936,81.78778076
2024-06-11T07:13:04.000,0.002744295,14.75708008,10.0025177,12.41489983,259.8300781,11.82300091,42.19950104,1500,0.029603643,0.02960722,0.029572885,0.029583614,-0.129981995,-0.12892203,0.008173492,1465.098389,3.411772966,82.07156372
2024-06-11T07:13:04.500,0.00220149,14.76272583,9.999073029,12.41489983,259.8303223,11.83450031,42.18750381,1500,0.029602215,0.029611509,0.029569309,0.029582899,-0.133426666,-0.132338613,0.00799154,1465.118042,2.736578465,82.081604
2024-06-11T07:13:05.000,0.002779749,14.74267578,10.00338364,12.41969967,259.3981628,11.83650017,42.14150238,1500,0.029603643,0.029608648,0.029571457,0.029581469,-0.129116058,-0.128063157,0.008179784,1465.047729,3.457032442,81.90948486
2024-06-11T07:13:05.500,0.002445838,14.74578857,10.00498581,12.41969967,259.3983765,11.81500053,42.1475029,1500,0.029603643,0.029610796,0.02957074,0.029579323,-0.127513885,-0.126474053,0.00806512,1465.058594,3.041540146,81.91504669
2024-06-11T07:13:06.000,0.002569075,14.75634766,9.997301102,12.42469978,259.6419373,11.81500053,42.1475029,1500,0.029604357,0.029612225,0.029573604,0.029584333,-0.135198593,-0.134096086,0.008111941,1465.095703,3.193991184,82.01078796
2024-06-11T07:13:06.500,0.002365714,14.77325439,9.997962952,12.42469978,259.6420593,11.82050037,42.14550018,1500,0.02960078,0.029612944,0.029569309,0.029583614,-0.134536743,-0.13343963,0.008050311,1465.155273,2.939983845,82.04091644
2024-06-11T07:13:07.000,0.00324243,14.77166748,10.0007906,12.42949963,259.1000977,11.80900097,42.16150284,1500,0.029602215,0.029610796,0.029570028,0.029581469,-0.131709099,-0.130635053,0.008361004,1465.150024,4.029670715,81.86698151
2024-06-11T07:13:07.500,0.002755239,14.76483154,9.994836807,12.42949963,259.1003113,11.82850075,42.17050171,1500,0.029605072,0.02960722,0.029571457,0.029585045,-0.137662888,-0.136540294,0.00818074,1465.125732,3.424749136,81.85482025
2024-06-11T07:13:08.000,0.002992622,14.78982544,9.999938965,12.43519974,259.862854,11.82850075,42.17050171,1500,0.029605791,0.029610079,0.02957074,0.029585045,-0.13256073,-0.13147974,0.008276742,1465.213867,3.717609644,82.14034271
2024-06-11T07:13:08.500,0.00331156,14.81478882,10.0040617,12.43519974,259.8627014,11.81100082,42.10200119,1500,0.029605072,0.029610079,0.02957217,0.029583614,-0.128437996,-0.127390623,0.008405204,1465.30188,4.111377239,82.18484497
2024-06-11T07:13:09.000,0.003179156,14.85067749,9.99898243,12.44049931,260.0975037,11.80550098,42.18200302,1500,0.029602926,0.029611509,0.029571457,0.029584333,-0.133517265,-0.132428467,0.008371194,1465.427979,3.94363904,82.32314301
2024-06-11T07:13:09.500,0.00224648,14.88772583,10.00188732,12.44049931,260.098053,11.82000065,42.11800385,1500,0.029597204,0.029607933,0.02957074,0.029582186,-0.130612373,-0.129547268,0.008061811,1465.557739,2.784241199,82.38929749
2024-06-11T07:13:10.000,0.002358401,14.92297363,9.995645523,12.44559956,259.6257324,11.79500008,42.11250305,1500,0.029602215,0.029610796,0.029573604,0.029583614,-0.136854172,-0.135738164,0.0081141,1465.681519,2.920516729,82.30252838
2024-06-11T07:13:10.500,0.002806086,14.97052002,10.00065613,12.44559956,259.6254883,11.79500008,42.11250305,1500,0.029603643,0.029609367,0.029570028,0.029584333,-0.131843567,-0.130768418,0.008287935,1465.848511,3.471002102,82.38729095
2024-06-11T07:13:11.000,0.002806086,15.02938843,9.999224663,12.45119953,260.1855164,11.82550049,42.08400345,1500,0.029602926,0.029608648,0.029571457,0.029583614,-0.133275032,-0.132188216,0.00831335,1466.054565,3.466181278,82.67020416
2024-06-11T07:13:11.500,0.001981698,15.04449463,10.00097656,12.45119953,260.1859436,11.81850052,42.13800049,1500,0.029602926,0.029611509,0.02957074,0.029582899,-0.131523132,-0.130450606,0.008048384,1466.107056,2.446994305,82.69719696
2024-06-11T07:13:12.000,0.003155044,15.05895996,10.00559998,12.45699978,259.2940063,11.79700089,42.10850143,1500,0.029601496,0.029607933,0.029571457,0.029585762,-0.126899719,-0.125864893,0.00845095,1466.158325,3.894509792,82.43967438
2024-06-11T07:13:12.500,0.002295153,15.10427856,10.0053587,12.45699978,259.2944641,11.79700089,42.10850143,1500,0.02960078,0.029607933,0.029568594,0.029582186,-0.127140999,-0.126104206,0.008173335,1466.316406,2.830056906,82.52040863
2024-06-11T07:13:13.000,0.002573127,15.15527344,10.00174713,12.46269989,259.6748962,11.81700039,42.13350296,1500,0.029605072,0.029610796,0.029570028,0.029582186,-0.130752563,-0.129686311,0.008287576,1466.494507,3.169009209,82.73252106
2024-06-11T07:13:13.500,0.002720527,15.17123413,10.00489998,12.46269989,259.6748352,11.80350018,42.10400391,1500,0.029604357,0.029609367,0.029572885,0.029580757,-0.127599716,-0.126559183,0.008344766,1466.550171,3.349286556,82.76102448
2024-06-11T07:13:14.000,0.002155436,15.20428467,10.00972939,12.4684,259.2688904,11.8135004,42.11100388,1500,0.029602926,0.029610079,0.029571457,0.029581469,-0.122770309,-0.121769153,0.008172983,1466.665283,2.65153265,82.69045258
2024-06-11T07:13:14.500,0.00214044,15.20684814,10.0048542,12.4684,259.2688599,11.8135004,42.11100388,1500,0.029606503,0.029608648,0.02957217,0.029585045,-0.127645493,-0.126604587,0.008169432,1466.674072,2.632926226,82.69500732
2024-06-11T07:13:15.000,0.00260495,15.19726563,9.995684624,12.47429943,259.3339539,11.82400036,42.10050201,1500,0.029606503,0.029610796,0.029570028,0.029581469,-0.136815071,-0.135699391,0.008316544,1466.640747,3.205035448,82.69876862
2024-06-11T07:13:15.500,0.002937083,15.20056152,9.998942375,12.47429943,259.3338013,11.81000042,42.0890007,1500,0.029603643,0.029610079,0.029570028,0.029582899,-0.13355732,-0.132468194,0.008432936,1466.652344,3.613400221,82.70465088
2024-06-11T07:13:16.000,0.003223188,15.19555664,10.00850868,12.48029995,259.2578125,11.81950092,42.08550262,1500,0.029602215,0.029610796,0.029567881,0.029585045,-0.123991013,-0.122979902,0.008533563,1466.635132,3.965852976,82.67155457
